id,source_id,title,slug,category,collection,series,medium,dimensions,year,price_rub,image,original_file,pdf_page,printed_page,width_px,height_px,format
plener-2014,painting-26,Пленэр,plener-2014,Живопись,painting,,"холст, масло",100x95 см,2014,330000,/artworks/painting/26_plener-2014_p15.jpeg,images/painting/images/26_plener-2014_p15.jpeg,15,,526,554,JPEG
k-vechnomu,painting-27,К вечному,k-vechnomu,Живопись,painting,,"холст, масло",45x60 см,2014,45000,/artworks/painting/27_k-vechnomu_p15.jpeg,images/painting/images/27_k-vechnomu_p15.jpeg,15,,526,391,JPEG
plener-2024,painting-28,Пленэр,plener-2024,Живопись,painting,,"холст, масло",60x40 см,2024,45000,/artworks/painting/28_plener-2024_p16.jpeg,images/painting/images/28_plener-2024_p16.jpeg,16,,505,750,JPEG
dyhanie-gor,painting-29,Дыхание гор,dyhanie-gor,Живопись,painting,,"холст, масло",65x90 см,2008,50000,/artworks/painting/29_dyhanie-gor_p17.jpeg,images/painting/images/29_dyhanie-gor_p17.jpeg,17,,369,265,JPEG
na-novye-luga,painting-30,На новые луга,na-novye-luga,Живопись,painting,,"холст, масло",60x100 см,2008,60000,/artworks/painting/30_na-novye-luga_p17.jpeg,images/painting/images/30_na-novye-luga_p17.jpeg,17,,369,221,JPEG
tumannyy-vecher,painting-31,Туманный вечер,tumannyy-vecher,Живопись,painting,,"картон, масло",50x70 см,2007,40000,/artworks/painting/31_tumannyy-vecher_p17.jpeg,images/painting/images/31_tumannyy-vecher_p17.jpeg,17,,369,263,JPEG
etyud-v-pastelnyh-tonah,painting-32,Этюд в пастельных тонах,etyud-v-pastelnyh-tonah,Графика,painting,,"бумага, масляная пастель, уголь, сепия",58x78 см,2022,45000,/artworks/painting/32_etyud-v-pastelnyh-tonah_p19.jpeg,images/painting/images/32_etyud-v-pastelnyh-tonah_p19.jpeg,19,,492,355,JPEG
orbaku,painting-33,Орбаку,orbaku,Графика,painting,,"бумага, масляная пастель",42x59 см,2022,30000,/artworks/painting/33_orbaku_p19.jpeg,images/painting/images/33_orbaku_p19.jpeg,19,,492,363,JPEG
hunzah,painting-34,Хунзах,hunzah,Графика,painting,,"бумага, сепия, пастель",40x48 см,2019,50000,/artworks/painting/34_hunzah_p20.jpeg,images/painting/images/34_hunzah_p20.jpeg,20,,600,458,JPEG
chayhana,painting-35,Чайхана,chayhana,Графика,painting,,"бумага, сангина",25x45 см,2018,25000,/artworks/painting/35_chayhana_p20.jpeg,images/painting/images/35_chayhana_p20.jpeg,20,,600,274,JPEG
ryba-mechty,painting-36,Рыба мечты,ryba-mechty,Графика,painting,,"бумага, итальянский карандаш",23x50 см,2022,25000,/artworks/painting/36_ryba-mechty_p21.jpeg,images/painting/images/36_ryba-mechty_p21.jpeg,21,,565,248,JPEG
rybonka,painting-37,Рыбонька,rybonka,Графика,painting,,"бумага, итальянский карандаш",25x42 см,2022,25000,/artworks/painting/37_rybonka_p21.jpeg,images/painting/images/37_rybonka_p21.jpeg,21,,580,352,JPEG
vozhak,painting-38,Вожак,vozhak,Объекты,painting,,"тыква лагенария, кожа, темпера, лак",15x20 см,2023,20000,/artworks/painting/38_vozhak_p23.png,images/painting/images/38_vozhak_p23.png,23,,677,508,PNG
graphics-bez-nazvaniya-1,graphics-1,Без названия 1,graphics-bez-nazvaniya-1,Графика,graphics,,,,,,/artworks/graphics/artwork_01_pdf_page_08.png,images/graphics/artworks/artwork_01_pdf_page_08.png,8,6,639,739,PNG
graphics-lesopolosa,graphics-2,Лесополоса,graphics-lesopolosa,Графика,graphics,,,,,,/artworks/graphics/artwork_02_pdf_page_09.png,images/graphics/artworks/artwork_02_pdf_page_09.png,9,7,741,637,PNG
graphics-bez-nazvaniya-3,graphics-3,Без названия 3,graphics-bez-nazvaniya-3,Графика,graphics,,,,,,/artworks/graphics/artwork_03_pdf_page_10.png,images/graphics/artworks/artwork_03_pdf_page_10.png,10,8,639,738,PNG
graphics-tutovnik,graphics-4,Тутовник,graphics-tutovnik,Графика,graphics,,,,,,/artworks/graphics/artwork_04_pdf_page_11.png,images/graphics/artworks/artwork_04_pdf_page_11.png,11,9,639,738,PNG
graphics-urozhaynyy-god,graphics-5,Урожайный год,graphics-urozhaynyy-god,Графика,graphics,,,,,,/artworks/graphics/artwork_05_pdf_page_12.png,images/graphics/artworks/artwork_05_pdf_page_12.png,12,10,740,641,PNG
graphics-staryy-karagach,graphics-6,Старый карагач,graphics-staryy-karagach,Графика,graphics,,,,,,/artworks/graphics/artwork_06_pdf_page_14.png,images/graphics/artworks/artwork_06_pdf_page_14.png,14,12,740,640,PNG
graphics-bez-nazvaniya-7,graphics-7,Без названия 7,graphics-bez-nazvaniya-7,Графика,graphics,,,,,,/artworks/graphics/artwork_07_pdf_page_16.png,images/graphics/artworks/artwork_07_pdf_page_16.png,16,14,644,745,PNG
graphics-fevral,graphics-8,Февраль,graphics-fevral,Графика,graphics,,,,,,/artworks/graphics/artwork_08_pdf_page_18.png,images/graphics/artworks/artwork_08_pdf_page_18.png,18,16,641,744,PNG
graphics-dozhdi-proshli,graphics-9,Дожди прошли,graphics-dozhdi-proshli,Графика,graphics,,,,,,/artworks/graphics/artwork_09_pdf_page_20.png,images/graphics/artworks/artwork_09_pdf_page_20.png,20,18,640,738,PNG
graphics-kruzheva,graphics-10,Кружева,graphics-kruzheva,Графика,graphics,,,,,,/artworks/graphics/artwork_10_pdf_page_21.png,images/graphics/artworks/artwork_10_pdf_page_21.png,21,19,747,643,PNG
graphics-bez-nazvaniya-11,graphics-11,Без названия 11,graphics-bez-nazvaniya-11,Графика,graphics,,,,,,/artworks/graphics/artwork_11_pdf_page_22.png,images/graphics/artworks/artwork_11_pdf_page_22.png,22,20,741,643,PNG
graphics-pobegi,graphics-12,Побеги,graphics-pobegi,Графика,graphics,,,,,,/artworks/graphics/artwork_12_pdf_page_24.png,images/graphics/artworks/artwork_12_pdf_page_24.png,24,22,512,755,PNG
graphics-artezian,graphics-13,Артезиан,graphics-artezian,Графика,graphics,,,,,,/artworks/graphics/artwork_13_pdf_page_26.png,images/graphics/artworks/artwork_13_pdf_page_26.png,26,24,637,741,PNG
graphics-obitel,graphics-14,Обитель,graphics-obitel,Графика,graphics,,,,,,/artworks/graphics/artwork_14_pdf_page_28.png,images/graphics/artworks/artwork_14_pdf_page_28.png,28,26,643,744,PNG
graphics-loza,graphics-15,Лоза,graphics-loza,Графика,graphics,,,,,,/artworks/graphics/artwork_15_pdf_page_30.png,images/graphics/artworks/artwork_15_pdf_page_30.png,30,28,741,640,PNG
graphics-bez-nazvaniya-16,graphics-16,Без названия 16,graphics-bez-nazvaniya-16,Графика,graphics,,,,,,/artworks/graphics/artwork_16_pdf_page_32.png,images/graphics/artworks/artwork_16_pdf_page_32.png,32,30,736,640,PNG
graphics-bez-nazvaniya-17,graphics-17,Без названия 17,graphics-bez-nazvaniya-17,Графика,graphics,,,,,,/artworks/graphics/artwork_17_pdf_page_33.png,images/graphics/artworks/artwork_17_pdf_page_33.png,33,31,641,739,PNG
graphics-iva,graphics-18,Ива,graphics-iva,Графика,graphics,,,,,,/artworks/graphics/artwork_18_pdf_page_34.png,images/graphics/artworks/artwork_18_pdf_page_34.png,34,32,639,738,PNG
graphics-bez-nazvaniya-19,graphics-19,Без названия 19,graphics-bez-nazvaniya-19,Графика,graphics,,,,,,/artworks/graphics/artwork_19_pdf_page_36.png,images/graphics/artworks/artwork_19_pdf_page_36.png,36,34,639,744,PNG
graphics-bez-nazvaniya-20,graphics-20,Без названия 20,graphics-bez-nazvaniya-20,Графика,graphics,,,,,,/artworks/graphics/artwork_20_pdf_page_38.png,images/graphics/artworks/artwork_20_pdf_page_38.png,38,36,508,757,PNG
graphics-patriarh,graphics-21,Патриарх,graphics-patriarh,Графика,graphics,,,,,,/artworks/graphics/artwork_21_pdf_page_40.png,images/graphics/artworks/artwork_21_pdf_page_40.png,40,38,644,742,PNG
graphics-bez-nazvaniya-22,graphics-22,Без названия 22,graphics-bez-nazvaniya-22,Графика,graphics,,,,,,/artworks/graphics/artwork_22_pdf_page_42.png,images/graphics/artworks/artwork_22_pdf_page_42.png,42,40,740,644,PNG
graphics-bez-nazvaniya-23,graphics-23,Без названия 23,graphics-bez-nazvaniya-23,Графика,graphics,,,,,,/artworks/graphics/artwork_23_pdf_page_44.png,images/graphics/artworks/artwork_23_pdf_page_44.png,44,42,745,451,PNG
graphics-otdyh-v-puti,graphics-24,Отдых в пути,graphics-otdyh-v-puti,Графика,graphics,,,,,,/artworks/graphics/artwork_24_pdf_page_46.png,images/graphics/artworks/artwork_24_pdf_page_46.png,46,44,743,640,PNG
graphics-bez-nazvaniya-25,graphics-25,Без названия 25,graphics-bez-nazvaniya-25,Графика,graphics,,,,,,/artworks/graphics/artwork_25_pdf_page_47.png,images/graphics/artworks/artwork_25_pdf_page_47.png,47,45,640,738,PNG
graphics-bez-nazvaniya-26,graphics-26,Без названия 26,graphics-bez-nazvaniya-26,Графика,graphics,,,,,,/artworks/graphics/artwork_26_pdf_page_48.png,images/graphics/artworks/artwork_26_pdf_page_48.png,48,46,508,759,PNG
graphics-bez-nazvaniya-27,graphics-27,Без названия 27,graphics-bez-nazvaniya-27,Графика,graphics,,,,,,/artworks/graphics/artwork_27_pdf_page_49.png,images/graphics/artworks/artwork_27_pdf_page_49.png,49,47,512,758,PNG
graphics-bez-nazvaniya-28,graphics-28,Без названия 28,graphics-bez-nazvaniya-28,Графика,graphics,,,,,,/artworks/graphics/artwork_28_pdf_page_52.png,images/graphics/artworks/artwork_28_pdf_page_52.png,52,,483,558,PNG
